regime,regimeLabel,factorKey,factorLabel,factorValue,metricKey,metricLabel,ratioMean,ratioCount
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),66,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6852688894823308,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),69,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6849609528718994,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),72,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6848108668314296,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),76,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6798920707955619,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),79,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.679708588548101,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),83,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.677718983493533,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),86,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6760910346795634,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),89,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.673604660262818,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),93,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6717524100491402,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),96,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6717985835684629,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),100,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),0.6693010356654474,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),2,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8249215078436901,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),5,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8229268250706973,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),8,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8247584889896223,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),12,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8225527663459931,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),15,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8206086254348467,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),18,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8195426449337851,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),22,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8184462274643504,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),25,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8173711586746997,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),29,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8172128919795317,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),32,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8178067775072638,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),35,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8157143468937103,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),39,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8135589888089156,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),42,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8127664400231107,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),45,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8120572331596588,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),49,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8107281725961962,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),52,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8108024942603468,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),56,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8086057643340944,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),59,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8080979231573927,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),62,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8080445077226678,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),66,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8078569159447172,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),69,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8074506279675618,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),72,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8062192199228583,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),76,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8055733841954423,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),79,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8038087239760557,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),83,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8029090231557932,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),86,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8021659785735603,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),89,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.8011225084604501,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),93,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.7995561603584238,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),96,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.7990114909065257,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),100,sumTotalWaitTimes,Sum of Total Wait Times (Final),0.7988950709538193,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),2,throughput,Network Throughput (Final),1.137026736924278,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),5,throughput,Network Throughput (Final),1.1427083074938604,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),8,throughput,Network Throughput (Final),1.1415273746371735,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),12,throughput,Network Throughput (Final),1.13953547020402,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),15,throughput,Network Throughput (Final),1.1448662420382165,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),18,throughput,Network Throughput (Final),1.1379925120342307,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),22,throughput,Network Throughput (Final),1.135414523760543,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),25,throughput,Network Throughput (Final),1.1307044291694661,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),29,throughput,Network Throughput (Final),1.1228193146417444,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),32,throughput,Network Throughput (Final),1.1216731030163867,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),35,throughput,Network Throughput (Final),1.1169399483313123,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),39,throughput,Network Throughput (Final),1.1109294660514173,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),42,throughput,Network Throughput (Final),1.1204664940887619,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),45,throughput,Network Throughput (Final),1.1133520276100086,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),49,throughput,Network Throughput (Final),1.1124109589041096,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),52,throughput,Network Throughput (Final),1.117295839753467,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),56,throughput,Network Throughput (Final),1.1111972747666656,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),59,throughput,Network Throughput (Final),1.1030010598538518,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),62,throughput,Network Throughput (Final),1.0991726296958855,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),66,throughput,Network Throughput (Final),1.090806447060152,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),69,throughput,Network Throughput (Final),1.084179476998128,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),72,throughput,Network Throughput (Final),1.0867656699826127,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),76,throughput,Network Throughput (Final),1.071010645888632,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),79,throughput,Network Throughput (Final),1.0717029079673106,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),83,throughput,Network Throughput (Final),1.0690392501464558,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),86,throughput,Network Throughput (Final),1.0731815232139696,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),89,throughput,Network Throughput (Final),1.0784883720930232,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),93,throughput,Network Throughput (Final),1.0732246058882267,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),96,throughput,Network Throughput (Final),1.0707660493263997,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),100,throughput,Network Throughput (Final),1.0581381161542216,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),2,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),5,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),8,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),12,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),15,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),18,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),22,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),25,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),29,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),32,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),35,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),39,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),42,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),45,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),49,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),52,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),56,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
arrivals_gt_departures,Arrivals > Departures,defaultRoadLength,Default Road Length (cells),59,totalVehiclesEntered,Total Vehicles Entered (Final),1,1
