regime,factorKey,factorLabel,factorValue,seedRep,metricKey,metricLabel,fixedValue,greedyValue,ratio,arrivalsPerStep,departuresPerStep,gridSize,simDuration,arrivalMin,arrivalMax,departureRate,requestedFactorValue,runSeed,inflowSeedOffset
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3158,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),5620.670420893321,6414.564784289267,1.1412454927876323,400,160,5,500,0,40,8,0.3158,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3158,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),18158111,17369265,0.9565568246608912,400,160,5,500,0,40,8,0.3158,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3158,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),5291169.901577033,4273364.054931166,0.8076406795513199,400,160,5,500,0,40,8,0.3158,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3684,0,throughput,Network Throughput (Final),72871,70527,0.9678335689094427,400,160,5,500,0,40,8,0.3684,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3684,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.3684,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3684,0,vehiclesInNetwork,Vehicles In Network (Final),126193,128537,1.0185747228451658,400,160,5,500,0,40,8,0.3684,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3684,0,sumQueueSizes,Total Queue Size (Final),122942,125098,1.0175367246343805,400,160,5,500,0,40,8,0.3684,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3684,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),6060.009311503777,6549.425051470632,1.0807615491675553,400,160,5,500,0,40,8,0.3684,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3684,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),19184757,18316928,0.9547646602977562,400,160,5,500,0,40,8,0.3684,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.3684,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),5727310.18836627,4568947.181963124,0.7977474646377463,400,160,5,500,0,40,8,0.3684,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4211,0,throughput,Network Throughput (Final),66771,66129,0.9903850474008177,400,160,5,500,0,40,8,0.4211,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4211,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.4211,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4211,0,vehiclesInNetwork,Vehicles In Network (Final),132293,132935,1.0048528644750667,400,160,5,500,0,40,8,0.4211,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4211,0,sumQueueSizes,Total Queue Size (Final),129423,129732,1.0023875199925825,400,160,5,500,0,40,8,0.4211,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4211,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),6835.997093200449,6725.394556310445,0.9838205699355816,400,160,5,500,0,40,8,0.4211,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4211,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),20458405,19246229,0.9407492421818807,400,160,5,500,0,40,8,0.4211,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4211,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),6216168.68494353,4869642.363366921,0.7833832397698454,400,160,5,500,0,40,8,0.4211,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4737,0,throughput,Network Throughput (Final),60915,61866,1.0156119182467374,400,160,5,500,0,40,8,0.4737,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4737,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.4737,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4737,0,vehiclesInNetwork,Vehicles In Network (Final),138149,137198,0.9931161282383514,400,160,5,500,0,40,8,0.4737,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4737,0,sumQueueSizes,Total Queue Size (Final),135711,134309,0.9896692235706759,400,160,5,500,0,40,8,0.4737,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4737,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),7513.795738675135,6830.247750046881,0.9090276057000214,400,160,5,500,0,40,8,0.4737,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4737,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),21972341,20152742,0.9171868395816358,400,160,5,500,0,40,8,0.4737,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.4737,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),6694949.389629298,5168509.6631341865,0.7720013046163399,400,160,5,500,0,40,8,0.4737,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5263,0,throughput,Network Throughput (Final),55445,58229,1.0502119217242312,400,160,5,500,0,40,8,0.5263,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5263,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.5263,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5263,0,vehiclesInNetwork,Vehicles In Network (Final),143619,140835,0.9806153781881227,400,160,5,500,0,40,8,0.5263,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5263,0,sumQueueSizes,Total Queue Size (Final),141477,138058,0.9758335277112181,400,160,5,500,0,40,8,0.5263,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5263,0,sumAvgWaitTimes,Sum of Average Wait Times (Final),8079.762617434436,6947.055465332825,0.8598093526092628,400,160,5,500,0,40,8,0.5263,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5263,0,sumTotalWaitTimes,Sum of Total Wait Times (Final),23594509,21010061,0.8904640058413591,400,160,5,500,0,40,8,0.5263,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5263,0,sumStdTotalWaitTimes,Sum of Std Total Wait Times (Final),7191771.938792826,5490295.506737667,0.7634134610307513,400,160,5,500,0,40,8,0.5263,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5789,0,throughput,Network Throughput (Final),50173,54163,1.079524844039623,400,160,5,500,0,40,8,0.5789,2,0
arrivals_gt_departures,throughTurnProb,Through Turn Probability (T),0.5789,0,totalVehiclesEntered,Total Vehicles Entered (Final),199064,199064,1,400,160,5,500,0,40,8,0.5789,2,0
